iter	Passed	Remaining
0	150	74991
1	188	46932
2	227	37712
3	267	33137
4	310	30719
5	374	30829
6	422	29721
7	479	29516
8	535	29225
9	553	27119
10	591	26313
11	636	25880
12	683	25614
13	722	25067
14	769	24883
15	832	25181
16	891	25339
17	949	25429
18	1015	25701
19	1069	25665
20	1119	25524
21	1161	25232
22	1219	25289
23	1279	25375
24	1338	25432
25	1395	25436
26	1461	25595
27	1506	25402
28	1553	25238
29	1614	25292
30	1675	25343
31	1760	25749
32	1825	25840
33	1889	25895
34	1948	25885
35	1997	25746
36	2012	25181
37	2058	25022
38	2114	24991
39	2165	24904
40	2222	24880
41	2279	24852
42	2339	24864
43	2379	24662
44	2438	24652
45	2490	24581
46	2538	24464
47	2580	24304
48	2629	24205
49	2665	23985
50	2724	23983
51	2796	24096
52	2822	23803
53	2879	23779
54	2943	23817
55	3013	23893
56	3071	23871
57	3131	23866
58	3194	23875
59	3248	23825
60	3288	23663
61	3328	23513
62	3364	23337
63	3410	23231
64	3422	22901
65	3457	22734
66	3506	22664
67	3567	22662
68	3618	22600
69	3662	22495
70	3711	22428
71	3758	22339
72	3807	22273
73	3858	22210
74	3878	21978
75	3926	21906
76	3967	21796
77	3999	21639
78	4038	21521
79	4074	21393
80	4119	21310
81	4164	21229
82	4213	21167
83	4253	21065
84	4300	20997
85	4336	20874
86	4377	20780
87	4419	20690
88	4469	20640
89	4509	20543
90	4562	20506
91	4619	20485
92	4667	20428
93	4719	20386
94	4778	20369
95	4844	20388
96	4905	20379
97	4967	20377
98	5014	20312
99	5068	20272
100	5122	20236
101	5167	20162
102	5215	20104
103	5274	20083
104	5328	20044
105	5373	19972
106	5422	19916
107	5468	19849
108	5517	19791
109	5570	19748
110	5609	19658
111	5662	19617
112	5712	19562
113	5760	19503
114	5808	19445
115	5854	19378
116	5893	19292
117	5948	19256
118	6002	19216
119	6058	19185
120	6102	19115
121	6136	19014
122	6177	18933
123	6214	18843
124	6267	18803
125	6308	18725
126	6360	18679
127	6401	18604
128	6447	18542
129	6488	18467
130	6528	18389
131	6568	18311
132	6606	18231
133	6648	18160
134	6691	18091
135	6738	18035
136	6786	17982
137	6834	17927
138	6892	17900
139	6940	17847
140	6995	17810
141	7042	17754
142	7083	17683
143	7120	17604
144	7163	17537
145	7198	17452
146	7245	17397
147	7283	17323
148	7329	17265
149	7366	17188
150	7406	17119
151	7450	17056
152	7496	17002
153	7534	16929
154	7582	16876
155	7622	16808
156	7675	16769
157	7715	16699
158	7766	16656
159	7820	16617
160	7879	16591
161	7935	16556
162	7998	16536
163	8064	16522
164	8121	16488
165	8185	16469
166	8244	16439
167	8280	16362
168	8321	16298
169	8362	16233
170	8405	16171
171	8448	16111
172	8499	16064
173	8545	16009
174	8606	15984
175	8660	15942
176	8713	15900
177	8763	15853
178	8821	15819
179	8872	15773
180	8935	15747
181	8989	15707
182	9054	15683
183	9112	15650
184	9167	15610
185	9223	15571
186	9270	15517
187	9314	15458
188	9368	15415
189	9403	15341
190	9445	15280
191	9487	15219
192	9536	15169
193	9575	15103
194	9618	15044
195	9660	14983
196	9702	14923
197	9746	14865
198	9797	14819
199	9849	14773
200	9901	14728
201	9953	14684
202	10017	14655
203	10077	14621
204	10138	14588
205	10186	14537
206	10248	14506
207	10307	14469
208	10362	14428
209	10419	14389
210	10473	14345
211	10533	14310
212	10602	14286
213	10652	14235
214	10705	14190
215	10754	14140
216	10793	14076
217	10835	14017
218	10891	13975
219	10929	13909
220	10970	13849
221	11014	13793
222	11055	13732
223	11095	13670
224	11165	13646
225	11202	13581
226	11244	13523
227	11283	13461
228	11333	13411
229	11369	13347
230	11412	13290
231	11452	13229
232	11494	13172
233	11529	13106
234	11570	13047
235	11606	12983
236	11647	12925
237	11684	12862
238	11737	12818
239	11779	12761
240	11823	12706
241	11865	12650
242	11913	12600
243	11956	12544
244	12030	12521
