iter	Passed	Remaining
0	52	52238
1	107	53804
2	167	55725
3	220	54933
4	273	54479
5	323	53518
6	376	53339
7	417	51810
8	479	52807
9	533	52825
10	583	52432
11	631	51981
12	680	51672
13	729	51379
14	778	51129
15	827	50897
16	872	50470
17	923	50368
18	972	50201
19	1018	49913
20	1065	49663
21	1112	49451
22	1157	49189
23	1203	48923
24	1250	48764
25	1309	49046
26	1368	49307
27	1431	49709
28	1485	49734
29	1537	49718
30	1592	49773
31	1645	49773
32	1707	50023
33	1758	49969
34	1814	50019
35	1846	49434
36	1896	49366
37	1948	49326
38	2001	49321
39	2052	49256
40	2106	49271
41	2157	49218
42	2186	48664
43	2234	48554
44	2284	48473
45	2334	48424
46	2354	47739
47	2401	47629
48	2453	47626
49	2471	46952
50	2517	46841
51	2566	46796
52	2619	46813
53	2671	46797
54	2728	46887
55	2790	47034
56	2856	47261
57	2928	47567
58	2990	47690
59	3053	47842
60	3121	48052
61	3182	48153
62	3244	48250
63	3305	48340
64	3365	48417
65	3425	48482
66	3487	48569
67	3551	48678
68	3620	48853
69	3690	49028
70	3759	49193
71	3827	49335
72	3888	49384
73	3948	49407
74	3999	49332
75	4054	49299
76	4115	49333
77	4175	49352
78	4235	49374
79	4294	49383
80	4358	49454
81	4422	49511
82	4473	49421
83	4531	49414
84	4593	49450
85	4657	49498
86	4721	49553
87	4786	49601
88	4848	49632
89	4912	49672
90	4978	49726
91	5036	49708
92	5099	49734
93	5162	49756
94	5219	49719
95	5287	49793
96	5349	49801
97	5411	49806
98	5480	49876
99	5543	49887
100	5603	49877
101	5661	49841
102	5723	49842
103	5785	49843
104	5847	49843
105	5905	49803
106	5968	49813
107	5982	49407
108	6038	49364
109	6117	49497
110	6182	49519
111	6244	49507
112	6314	49564
113	6415	49859
114	6443	49589
115	6505	49576
116	6584	49689
117	6646	49676
118	6704	49639
119	6776	49691
120	6845	49729
121	6914	49763
122	6978	49760
123	7040	49735
124	7118	49828
125	7163	49686
126	7192	49438
127	7263	49479
128	7334	49522
129	7435	49758
130	7511	49825
131	7575	49813
132	7632	49752
133	7650	49442
134	7711	49412
135	7776	49402
136	7849	49444
137	7923	49495
138	7992	49508
139	8064	49536
140	8135	49560
141	8195	49519
142	8261	49509
143	8324	49486
144	8390	49472
145	8449	49424
146	8511	49388
147	8568	49326
148	8629	49285
149	8687	49231
150	8748	49186
151	8800	49095
152	8850	48996
153	8899	48892
154	8964	48873
155	8978	48575
156	9032	48500
157	9097	48482
158	9165	48478
159	9236	48489
160	9304	48489
161	9375	48497
162	9402	48280
163	9472	48289
164	9551	48337
165	9623	48347
166	9686	48315
167	9746	48270
168	9810	48240
169	9873	48206
170	9934	48163
171	9997	48126
172	10059	48090
173	10122	48054
174	10192	48050
175	10251	47995
176	10311	47946
177	10377	47923
178	10438	47878
179	10488	47782
180	10547	47724
181	10613	47700
182	10672	47647
183	10731	47593
184	10796	47560
185	10847	47470
186	10913	47445
187	10980	47427
188	11009	47240
189	11069	47193
190	11132	47153
191	11200	47135
192	11262	47090
193	11313	47004
194	11376	46964
195	11437	46916
196	11488	46828
197	11551	46790
198	11613	46744
199	11677	46708
200	11736	46654
201	11804	46632
202	11873	46618
203	11935	46571
204	11991	46504
205	12012	46300
206	12071	46243
207	12123	46161
208	12173	46074
209	12233	46021
210	12302	46001
211	12369	45978
212	12442	45972
213	12501	45915
214	12562	45868
215	12615	45789
216	12676	45742
217	12733	45675
218	12793	45624
219	12856	45580
220	12914	45521
221	12965	45438
222	13027	45391
223	13089	45345
224	13151	45299
225	13217	45266
226	13280	45224
227	13347	45193
228	13405	45135
229	13459	45061
230	13477	44865
231	13526	44775
232	13538	44565
233	13591	44490
234	13647	44425
235	13699	44348
236	13752	44273
237	13805	44200
238	13817	43995
239	13867	43912
240	13924	43853
241	13978	43782
242	14031	43711
243	14088	43652
244	14141	43580
245	14197	43516
246	14250	43443
247	14298	43355
248	14347	43273
249	14399	43199
250	14451	43122
251	14504	43054
252	14558	42985
253	14608	42906
254	14661	42835
255	14714	42764
256	14772	42706
257	14793	42545
258	14850	42487
259	14910	42436
260	14960	42358
261	15015	42294
262	15068	42225
263	15123	42161
264	15181	42106
265	15236	42042
266	15291	41980
267	15345	41914
268	15391	41826
269	15412	41670
270	15464	41601
271	15481	41435
272	15531	41361
273	15588	41304
274	15641	41235
275	15687	41151
276	15742	41089
277	15795	41024
278	15849	40959
279	15910	40911
280	15961	40840
281	16014	40773
282	16066	40705
283	16112	40622
284	16167	40560
285	16220	40494
286	16252	40375
287	16304	40308
288	16365	40263
289	16439	40248
290	16496	40192
291	16547	40121
292	16599	40052
293	16650	39984
294	16701	39914
295	16754	39848
296	16768	39691
297	16820	39624
298	16876	39566
299	16892	39415
300	16938	39336
301	16989	39267
302	17040	39199
303	17093	39134
304	17142	39061
305	17197	39004
306	17252	38944
307	17310	38891
308	17372	38849
309	17431	38798
310	17483	38732
311	17537	38671
312	17589	38606
313	17641	38541
314	17694	38479
315	17753	38428
316	17804	38361
317	17857	38298
318	17913	38241
319	17966	38178
320	18020	38118
321	18075	38059
322	18127	37994
323	18183	37938
324	18233	37869
325	18282	37798
326	18330	37726
327	18383	37663
328	18435	37600
329	18495	37550
330	18547	37487
331	18599	37422
332	18650	37357
333	18703	37295
334	18756	37232
335	18819	37191
336	18884	37152
337	18962	37138
338	19019	37084
339	19094	37066
340	19160	37027
341	19228	36995
342	19293	36956
343	19307	36818
344	19367	36769
345	19434	36734
346	19496	36690
347	19559	36645
348	19622	36602
349	19681	36552
350	19751	36521
351	19773	36400
352	19830	36345
353	19893	36302
354	19958	36263
355	20019	36214
356	20071	36151
357	20129	36098
358	20181	36033
359	20240	35983
360	20304	35940
361	20372	35905
362	20430	35852
363	20497	35813
364	20556	35762
365	20605	35694
366	20663	35640
367	20725	35593
368	20788	35549
369	20857	35514
370	20923	35473
371	20974	35408
372	21035	35359
373	21099	35316
374	21164	35274
375	21227	35228
376	21289	35181
377	21356	35141
378	21422	35100
379	21436	34975
380	21496	34925
381	21509	34798
382	21573	34754
383	21591	34636
384	21650	34584
385	21701	34519
386	21751	34453
387	21810	34402
388	21878	34364
389	21940	34316
390	22014	34288
391	22077	34242
392	22131	34182
393	22148	34066
394	22208	34015
395	22221	33893
396	22280	33842
397	22294	33721
398	22357	33676
399	22414	33622
400	22471	33567
401	22535	33523
402	22596	33473
403	22615	33363
404	22678	33317
405	22742	33273
406	22797	33216
407	22861	33172
408	22902	33093
409	22962	33043
410	23030	33004
411	23091	32956
412	23156	32912
413	23221	32868
414	23292	32834
415	23356	32789
416	23410	32729
417	23465	32671
418	23522	32617
419	23575	32556
420	23626	32493
421	23673	32425
422	23726	32364
423	23782	32308
424	23838	32251
425	23896	32198
426	23951	32140
427	24003	32079
428	24077	32047
429	24131	31988
430	24173	31913
431	24223	31849
432	24281	31795
433	24339	31742
434	24402	31694
435	24471	31655
436	24534	31609
437	24595	31558
438	24657	31509
439	24722	31464
440	24786	31418
441	24809	31321
442	24870	31270
443	24934	31224
444	24992	31170
445	25053	31119
446	25116	31072
447	25180	31025
448	25245	30980
449	25309	30933
450	25372	30885
451	25431	30833
452	25497	30788
453	25558	30737
454	25613	30679
455	25671	30626
456	25736	30579
457	25802	30534
458	25874	30496
459	25937	30448
460	25960	30352
461	26011	30290
462	26067	30233
463	26083	30130
464	26141	30076
465	26169	29987
466	26189	29891
467	26254	29845
468	26317	29797
469	26381	29749
470	26436	29691
471	26498	29642
472	26557	29589
473	26613	29533
474	26671	29479
475	26738	29434
476	26801	29385
477	26867	29341
478	26923	29284
479	26973	29221
480	27045	29181
481	27106	29131
482	27177	29090
483	27233	29034
484	27300	28989
485	27365	28941
486	27444	28909
487	27503	28855
488	27563	28803
489	27625	28752
490	27688	28703
491	27746	28648
